Date,cve_station,cve_parameter,value,unit,nom_estac,longitud,latitud,alt,obs_estac,id_station
31/03/2008,MER,PM2.5,29,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/04/2008,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/04/2008,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/04/2008,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/04/2008,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/05/2008,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/05/2008,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
18/05/2008,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/05/2008,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/06/2008,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/06/2008,MER,PM2.5,13,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/06/2008,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/06/2008,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/07/2008,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/07/2008,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/07/2008,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/07/2008,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/07/2008,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/08/2008,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/08/2008,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
22/08/2008,MER,PM2.5,6,2,Merced,-99.119594,19.42461,2245.0,,484090170127
28/08/2008,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/09/2008,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
09/09/2008,MER,PM2.5,32,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/09/2008,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/09/2008,MER,PM2.5,40,2,Merced,-99.119594,19.42461,2245.0,,484090170127
03/10/2008,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
09/10/2008,MER,PM2.5,10,2,Merced,-99.119594,19.42461,2245.0,,484090170127
15/10/2008,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
21/10/2008,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
27/10/2008,MER,PM2.5,13,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/11/2008,MER,PM2.5,10,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/11/2008,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/11/2008,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/11/2008,MER,PM2.5,39,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/12/2008,MER,PM2.5,35,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/12/2008,MER,PM2.5,36,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/12/2008,MER,PM2.5,37,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/01/2009,MER,PM2.5,51,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/01/2009,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/01/2009,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/01/2009,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
31/01/2009,MER,PM2.5,28,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/02/2009,MER,PM2.5,33,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/02/2009,MER,PM2.5,52,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/02/2009,MER,PM2.5,24,2,Merced,-99.119594,19.42461,2245.0,,484090170127
02/03/2009,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
08/03/2009,MER,PM2.5,29,2,Merced,-99.119594,19.42461,2245.0,,484090170127
14/03/2009,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
20/03/2009,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/03/2009,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
07/04/2009,MER,PM2.5,36,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/04/2009,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/04/2009,MER,PM2.5,37,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/04/2009,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/05/2009,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
